Name,Team,MLBAMID
Jackson Holliday,Baltimore Orioles,702616
Spencer Horwitz,Toronto Blue Jays,687462
Jacob Hurtubise,Cincinnati Reds,674441
Kyle Isbel,Kansas City Royals,664728
Travis Jankowski,Texas Rangers,608671
Daniel Johnson,Baltimore Orioles,669288
Nolan Jones,Colorado Rockies,666134
Edouard Julien,Minnesota Twins,666397
Jace Jung,Detroit Tigers,690291
Niko Kavadas,Los Angeles Angels,694359
DaShawn Keirsey Jr.,Minnesota Twins,680577
Colt Keith,Detroit Tigers,690993
Jarred Kelenic,Atlanta Braves,672284
Tony Kemp,Baltimore Orioles,643393
Max Kepler,Minnesota Twins,596146
Kevin Kiermaier,Los Angeles Dodgers,595281
Alex Kirilloff,Minnesota Twins,666135
Heston Kjerstad,Baltimore Orioles,677008
Steven Kwan,Cleveland Guardians,680757
Trevor Larnach,Minnesota Twins,663616
Jung Hoo Lee,San Francisco Giants,808982
Joey Loperfido,Toronto Blue Jays,694388
Nicky Lopez,Chicago White Sox,670032
Brandon Lowe,Tampa Bay Rays,664040
Nathaniel Lowe,Texas Rangers,663993
Josh Lowe,Tampa Bay Rays,666139
Nathan Lukes,Toronto Blue Jays,664770
Gavin Lux,Los Angeles Dodgers,666158
Bligh Madris,Detroit Tigers,676632
Kyle Manzardo,Cleveland Guardians,700932
Cade Marlowe,Seattle Mariners,687799
Brandon Marsh,Philadelphia Phillies,669016
J.P. Martínez,Atlanta Braves,679881
Nick Martini,Cincinnati Reds,605361
Michael Massey,Kansas City Royals,686681
Miles Mastrobuoni,Chicago Cubs,670156
Nick Maton,Baltimore Orioles,665155
Kyle McCann,Oakland Athletics,668832
Jake McCarthy,Arizona Diamondbacks,664983
Grant McCray,San Francisco Giants,687529
Reese McGuire,Boston Red Sox,624512
Billy McKinney,Pittsburgh Pirates,641856
Zach McKinstry,Detroit Tigers,656716
Ryan McMahon,Colorado Rockies,641857
Jeff McNeil,New York Mets,643446
Parker Meadows,Detroit Tigers,678009
MJ Melendez,Kansas City Royals,669004
Jackson Merrill,San Diego Padres,701538
Matt Mervis,Chicago Cubs,670223
Kameron Misner,Tampa Bay Rays,670224
Garrett Mitchell,Milwaukee Brewers,669003
Mickey Moniak,Los Angeles Angels,666160
Cedric Mullins,Baltimore Orioles,656775
Max Muncy,Los Angeles Dodgers,571970
Omar Narváez,New York Mets,553882
Josh Naylor,Cleveland Guardians,647304
Bo Naylor,Cleveland Guardians,666310
Brandon Nimmo,New York Mets,607043
Ryan Noda,Oakland Athletics,676116
Lars Nootbaar,St. Louis Cardinals,663457
Ryan O'Hearn,Baltimore Orioles,656811
Shohei Ohtani,Los Angeles Dodgers,660271
Matt Olson,Atlanta Braves,621566
Rafael Ortega,Chicago White Sox,542364
James Outman,Los Angeles Dodgers,681546
Joshua Palacios,Pittsburgh Pirates,641943
Richie Palacios,Tampa Bay Rays,680700
Vinnie Pasquantino,Kansas City Royals,686469
Graham Pauley,San Diego Padres,688363
Joc Pederson,Arizona Diamondbacks,592626
David Peralta,San Diego Padres,444482
Jace Peterson,Arizona Diamondbacks,607054
Nick Pratto,Kansas City Royals,668472
Luke Raley,Seattle Mariners,670042
Ben Rice,New York Yankees,700250
Edwin Rios,Cincinnati Reds,621458
Anthony Rizzo,New York Yankees,519203
Josh Rojas,Seattle Mariners,668942
Ben Rortvedt,Tampa Bay Rays,666163
Eddie Rosario,Atlanta Braves,592696
Blake Sabol,San Francisco Giants,666165
César Salazar,Houston Astros,663967
Jesús Sánchez,Miami Marlins,660821
Nolan Schanuel,Los Angeles Angels,694384
Daniel Schneemann,Cleveland Guardians,682177
Kyle Schwarber,Philadelphia Phillies,656941
Victor Scott II,St. Louis Cardinals,687363
Corey Seager,Texas Rangers,608369
Gavin Sheets,Chicago White Sox,657757
Austin Shenton,Tampa Bay Rays,668853
Braden Shewmake,Chicago White Sox,669699
Michael Siani,St. Louis Cardinals,672279
Jon Singleton,Houston Astros,572138
Dominic Smith,Boston Red Sox,642086
Josh Smith,Texas Rangers,669701
Pavin Smith,Arizona Diamondbacks,656976
Tyler Soderstrom,Oakland Athletics,691016
Juan Soto,New York Yankees,665742
Livan Soto,Baltimore Orioles,670869
Cal Stevenson,Philadelphia Phillies,670276
DJ Stewart,New York Mets,621466
Bryson Stott,Philadelphia Phillies,681082
Kyle Stowers,Miami Marlins,669065
Garrett Stubbs,Philadelphia Phillies,596117
Brett Sullivan,San Diego Padres,664954
Jack Suwinski,Pittsburgh Pirates,669261
Trey Sweeney,Detroit Tigers,700242
Mike Tauchman,Chicago Cubs,643565
Rowdy Tellez,Pittsburgh Pirates,642133
José Tena,Washington Nationals,677588
Matt Thaiss,Los Angeles Angels,642136
Alek Thomas,Arizona Diamondbacks,677950
Taylor Trammell,New York Yankees,666211
Kyle Tucker,Houston Astros,663656
Brice Turang,Milwaukee Brewers,668930
Enmanuel Valdez,Boston Red Sox,665839
Daulton Varsho,Toronto Blue Jays,662139
Alex Verdugo,New York Yankees,657077
Daniel Vogelbach,Toronto Blue Jays,596129
Jason Vosler,Seattle Mariners,613564
LaMonte Wade Jr.,San Francisco Giants,664774
Tyler Wade,San Diego Padres,642180
Will Wagner,Toronto Blue Jays,695238
Forrest Wall,Miami Marlins,657088
Matt Wallner,Minnesota Twins,670242
Jared Walsh,Texas Rangers,665120
Donovan Walton,San Francisco Giants,622268
Austin Wells,New York Yankees,669224
Joey Wendle,New York Mets,621563
Jesse Winker,New York Mets,608385
Brett Wisely,San Francisco Giants,689172
James Wood,Washington Nationals,695578
Mike Yastrzemski,San Francisco Giants,573262
Christian Yelich,Milwaukee Brewers,592885
Masataka Yoshida,Boston Red Sox,807799
