Name,Team,MLBAMID
Willson Contreras,St. Louis Cardinals,575929
Billy Cook,Pittsburgh Pirates,695257
Garrett Cooper,Boston Red Sox,643265
Carlos Correa,Minnesota Twins,621043
Dylan Crews,Washington Nationals,686611
Travis d'Arnaud,Atlanta Braves,518595
Bobby Dalbec,Boston Red Sox,666915
Henry Davis,Pittsburgh Pirates,680779
J.D. Davis,New York Yankees,605204
Paul DeJong,Kansas City Royals,657557
Bryan De La Cruz,Pittsburgh Pirates,650559
Jason Delay,Pittsburgh Pirates,641511
Luis De Los Santos,Toronto Blue Jays,665782
Jonny DeLuca,Tampa Bay Rays,676356
Zach Dezenzo,Houston Astros,701305
Aledmys Díaz,Houston Astros,649557
Elias Díaz,San Diego Padres,553869
Yainer Diaz,Houston Astros,673237
Yandy Díaz,Tampa Bay Rays,650490
Dillon Dingler,Detroit Tigers,693307
Brenton Doyle,Colorado Rockies,686668
Brandon Drury,Los Angeles Angels,592273
Mauricio Dubón,Houston Astros,643289
Matt Duffy,Texas Rangers,622110
Blake Dunn,Cincinnati Reds,694362
Ezequiel Duran,Texas Rangers,677649
Adam Duvall,Atlanta Braves,594807
Jerar Encarnacion,San Francisco Giants,666464
Christian Encarnacion-Strand,Cincinnati Reds,687952
Santiago Espinal,Cincinnati Reds,669289
Thairo Estrada,San Francisco Giants,642731
Sandro Fabian,Texas Rangers,660758
Stuart Fairchild,Cincinnati Reds,656413
Kyle Farmer,Minnesota Twins,571657
Freddy Fermin,Kansas City Royals,666023
José Fermín,St. Louis Cardinals,665877
Tyler Fitzgerald,San Francisco Giants,666149
David Fletcher,Atlanta Braves,664058
Wilmer Flores,San Francisco Giants,527038
Nick Fortes,Miami Marlins,663743
Justin Foscue,Texas Rangers,679822
Ty France,Cincinnati Reds,664034
Tyler Freeman,Cleveland Guardians,671289
David Fry,Cleveland Guardians,681807
Aramis Garcia,Philadelphia Phillies,605244
Avisaíl García,Miami Marlins,541645
Adolis García,Texas Rangers,666969
Maikel Garcia,Kansas City Royals,672580
Stone Garrett,Washington Nationals,656448
Mitch Garver,Seattle Mariners,641598
Zack Gelof,Oakland Athletics,680869
Tyler Gentry,Kansas City Royals,694355
Paul Goldschmidt,St. Louis Cardinals,502671
Yan Gomes,Chicago Cubs,543228
Nick Gonzales,Pittsburgh Pirates,693304
Romy Gonzalez,Boston Red Sox,663853
Hunter Goodman,Colorado Rockies,696100
Randal Grichuk,Arizona Diamondbacks,545341
Vaughn Grissom,Boston Red Sox,687093
Vladimir Guerrero Jr.,Toronto Blue Jays,665489
Lourdes Gurriel Jr.,Arizona Diamondbacks,666971
Yuli Gurriel,Kansas City Royals,493329
Eric Haase,Milwaukee Brewers,606992
Garrett Hampson,Kansas City Royals,641658
Mitch Haniger,Seattle Mariners,571745
Brett Harris,Oakland Athletics,695391
Ke'Bryan Hayes,Pittsburgh Pirates,663647
Austin Hays,Philadelphia Phillies,669720
Austin Hedges,Cleveland Guardians,595978
Michael Helman,Minnesota Twins,680737
David Hensley,Miami Marlins,682073
Darell Hernaiz,Oakland Athletics,687231
Enrique Hernández,Los Angeles Dodgers,571771
Teoscar Hernández,Los Angeles Dodgers,606192
Iván Herrera,St. Louis Cardinals,671056
Brewer Hicklen,Milwaukee Brewers,676551
Kyle Higashioka,San Diego Padres,543309
Derek Hill,Miami Marlins,656537
Rece Hinds,Cincinnati Reds,677956
Keston Hiura,Los Angeles Angels,669374
Nico Hoerner,Chicago Cubs,663538
Rhys Hoskins,Milwaukee Brewers,656555
Joe Hudson,New York Mets,621529
Sam Huff,Texas Rangers,669087
Andy Ibáñez,Detroit Tigers,628451
Jose Iglesias,New York Mets,578428
Jonathan India,Cincinnati Reds,663697
Alex Jackson,Tampa Bay Rays,656577
Danny Jansen,Boston Red Sox,643376
Ryan Jeffers,Minnesota Twins,680777
Eloy Jiménez,Baltimore Orioles,650391
Leo Jiménez,Toronto Blue Jays,677870
Connor Joe,Pittsburgh Pirates,656582
Jahmai Jones,New York Yankees,663330
Levi Jordan,Cincinnati Reds,682119
Aaron Judge,New York Yankees,592450
Corey Julks,Chicago White Sox,667452
Josh Jung,Texas Rangers,673962
Carson Kelly,Texas Rangers,608348
Buddy Kennedy,Philadelphia Phillies,671083
Grae Kessinger,Houston Astros,666197
Ha-Seong Kim,San Diego Padres,673490
Isiah Kiner-Falefa,Toronto Blue Jays,643396
Alejandro Kirk,Toronto Blue Jays,672386
Andrew Knizner,Texas Rangers,668800
Grant Koch,Pittsburgh Pirates,667428
Ryan Kreidler,Detroit Tigers,668952
Shea Langeliers,Oakland Athletics,669127
Wyatt Langford,Texas Rangers,694671
Ramón Laureano,Atlanta Braves,657656
Charles Leblanc,Los Angeles Angels,641779
Korey Lee,Chicago White Sox,686676
DJ LeMahieu,New York Yankees,518934
Pedro León,Houston Astros,694175
Royce Lewis,Minnesota Twins,668904
Trey Lipscomb,Washington Nationals,702358
Tyler Locklear,Seattle Mariners,682988
Brandon Lockridge,San Diego Padres,663604
Nick Loftin,Kansas City Royals,679845
Jack López,Los Angeles Angels,605346
Otto Lopez,Miami Marlins,672640
Marco Luciano,San Francisco Giants,682617
Manny Machado,San Diego Padres,592518
Nick Madrigal,Chicago Cubs,663611
Luke Maile,Cincinnati Reds,571912
Martín Maldonado,Chicago White Sox,455117
Justyn-Henry Malloy,Detroit Tigers,669234
Manuel Margot,Minnesota Twins,622534
Noelvi Marte,Cincinnati Reds,682622
Starling Marte,New York Mets,516782
Austin Martin,Minnesota Twins,668885
J.D. Martinez,New York Mets,502110
Orelvis Martinez,Toronto Blue Jays,682619
Jorge Mateo,Baltimore Orioles,622761
Luis Matos,San Francisco Giants,682641
Coby Mayo,Baltimore Orioles,691723
James McCann,Baltimore Orioles,543510
Chas McCormick,Houston Astros,676801
Mason McCoy,San Diego Padres,669200
Andrew McCutchen,Pittsburgh Pirates,457705
Ryan McKenna,San Francisco Giants,663630
Curtis Mead,Tampa Bay Rays,678554
Danny Mendick,Chicago White Sox,664901
Joey Meneses,Washington Nationals,608841
Whit Merrifield,Atlanta Braves,593160
Jake Meyers,Houston Astros,676694
Owen Miller,Milwaukee Brewers,680911
Jose Miranda,Minnesota Twins,669304
Andruw Monasterio,Milwaukee Brewers,655316
Elehuris Montero,Colorado Rockies,660707
Dylan Moore,Seattle Mariners,664238
Christopher Morel,Tampa Bay Rays,666624
Gabriel Moreno,Arizona Diamondbacks,672515
Ryan Mountcastle,Baltimore Orioles,663624
Sean Murphy,Atlanta Braves,669221
Tom Murphy,San Francisco Giants,608596
Dane Myers,Miami Marlins,667472
Carlos Narváez,New York Yankees,665966
Zach Neto,Los Angeles Angels,687263
Tyler Nevin,Oakland Athletics,663527
Kevin Newman,Arizona Diamondbacks,621028
Tomás Nido,Chicago Cubs,621512
Jhonkensy Noel,Cleveland Guardians,678877
Connor Norby,Miami Marlins,681393
Logan O'Hoppe,Los Angeles Angels,681351
Tyler O'Neill,Boston Red Sox,641933
Edward Olivares,Pittsburgh Pirates,658668
Jonathan Ornelas,Texas Rangers,680716
Joey Ortiz,Milwaukee Brewers,687401
Marcell Ozuna,Atlanta Braves,542303
Cristian Pache,Miami Marlins,665506
Andy Pages,Los Angeles Dodgers,681624
Pedro Pagés,St. Louis Cardinals,686780
Isaac Paredes,Chicago Cubs,670623
Kyren Paris,Los Angeles Angels,677347
Liover Peguero,Pittsburgh Pirates,678894
Jeremy Peña,Houston Astros,665161
Oswald Peraza,New York Yankees,672724
Jhonny Pereda,Miami Marlins,640902
Salvador Perez,Kansas City Royals,521692
Tommy Pham,Kansas City Royals,502054
Kevin Pillar,Los Angeles Angels,607680
René Pinto,Tampa Bay Rays,650907
Ceddanne Rafaela,Boston Red Sox,678882
Harold Ramírez,Washington Nationals,623912
Bryan Ramos,Chicago White Sox,682868
Heliot Ramos,San Francisco Giants,671218
J.T. Realmuto,Philadelphia Phillies,592663
Jakson Reetz,San Francisco Giants,656883
Rob Refsnyder,Boston Red Sox,608701
Zach Remillard,Chicago White Sox,621545
Anthony Rendon,Los Angeles Angels,543685
Hunter Renfroe,Kansas City Royals,592669
Pablo Reyes,Boston Red Sox,622569
Austin Riley,Atlanta Braves,663586
Emmanuel Rivera,Miami Marlins,656896
Luis Robert Jr.,Chicago White Sox,673357
Chuckie Robinson,Chicago White Sox,642020
Victor Robles,Seattle Mariners,645302
Brendan Rodgers,Colorado Rockies,663898
Johnathan Rodríguez,Cleveland Guardians,671286
Julio Rodríguez,Seattle Mariners,677594
Jake Rogers,Detroit Tigers,668670
Johan Rojas,Philadelphia Phillies,679032
Miguel Rojas,Los Angeles Dodgers,500743
Chris Roller,Milwaukee Brewers,676896
Brent Rooker,Oakland Athletics,667670
Eguy Rosario,San Diego Padres,666703
Amed Rosario,Cincinnati Reds,642708
Esteury Ruiz,Oakland Athletics,665923
Thomas Saggese,St. Louis Cardinals,695336
Ali Sánchez,Miami Marlins,645305
Gary Sánchez,Milwaukee Brewers,596142
Miguel Sanó,Los Angeles Angels,593934
Javier Sanoja,Miami Marlins,691594
Casey Schmitt,San Francisco Giants,669477
Davis Schneider,Toronto Blue Jays,676914
Max Schuemann,Oakland Athletics,680474
Aaron Schunk,Colorado Rockies,668845
Marcus Semien,Texas Rangers,543760
Nick Senzel,Chicago White Sox,669222
Brian Serven,Toronto Blue Jays,661531
Zack Short,Atlanta Braves,670097
Jose Siri,Tampa Bay Rays,642350
Austin Slater,Baltimore Orioles,596103
Kevin Smith,New York Yankees,675656
Will Smith,Los Angeles Dodgers,669257
Donovan Solano,San Diego Padres,456781
Jorge Soler,Atlanta Braves,624585
Edmundo Sosa,Philadelphia Phillies,624641
Lenyn Sosa,Chicago White Sox,672820
George Springer,Toronto Blue Jays,543807
Jacob Stallings,Colorado Rockies,607732
Giancarlo Stanton,New York Yankees,519317
Spencer Steer,Cincinnati Reds,668715
Michael Stefanic,Los Angeles Angels,683021
Tyler Stephenson,Cincinnati Reds,663886
Trevor Story,Boston Red Sox,596115
Myles Straw,Cleveland Guardians,664702
Eugenio Suárez,Arizona Diamondbacks,553993
Seiya Suzuki,Chicago Cubs,673548
Dansby Swanson,Chicago Cubs,621020
Fernando Tatis Jr.,San Diego Padres,665487
Chris Taylor,Los Angeles Dodgers,621035
Michael A. Taylor,Pittsburgh Pirates,572191
Samad Taylor,Seattle Mariners,669392
Tyrone Taylor,New York Mets,621438
Bryce Teodosio,Los Angeles Angels,669326
Lane Thomas,Cleveland Guardians,657041
Bubba Thompson,Cincinnati Reds,669352
Spencer Torkelson,Detroit Tigers,679529
Luis Torrens,New York Mets,620443
Gleyber Torres,New York Yankees,650402
Ezequiel Tovar,Colorado Rockies,678662
Alan Trejo,Colorado Rockies,676701
Jose Trevino,New York Yankees,624431
Jared Triolo,Pittsburgh Pirates,669707
Chadwick Tromp,Atlanta Braves,644433
Mike Trout,Los Angeles Angels,545361
Justin Turner,Seattle Mariners,457759
Trea Turner,Philadelphia Phillies,607208
Luis Urías,Seattle Mariners,649966
Ramón Urías,Baltimore Orioles,602104
Gio Urshela,Atlanta Braves,570482
Miguel Vargas,Chicago White Sox,678246
Andrew Vaughn,Chicago White Sox,683734
Christian Vázquez,Minnesota Twins,543877
Luis Vázquez,Chicago Cubs,676679
Nelson Velázquez,Kansas City Royals,676369
Mark Vientos,New York Mets,668901
Matt Vierling,Detroit Tigers,663837
Ryan Vilade,Detroit Tigers,668723
David Villar,San Francisco Giants,681584
Anthony Volpe,New York Yankees,683011
Eric Wagaman,Los Angeles Angels,676572
Christian Walker,Arizona Diamondbacks,572233
Jordan Walker,St. Louis Cardinals,691023
Taylor Ward,Los Angeles Angels,621493
Davis Wendzel,Texas Rangers,673995
Jamie Westbrook,Boston Red Sox,642197
Jordan Westburg,Baltimore Orioles,676059
Shay Whitcomb,Houston Astros,694376
Eli White,Atlanta Braves,642201
Joey Wiemer,Cincinnati Reds,686894
Alika Williams,Pittsburgh Pirates,675961
Luke Williams,Atlanta Braves,663897
Jacob Wilson,Oakland Athletics,805779
Weston Wilson,Philadelphia Phillies,642215
Masyn Winn,St. Louis Cardinals,691026
Patrick Wisdom,Chicago Cubs,621550
Bobby Witt Jr.,Kansas City Royals,677951
Connor Wong,Boston Red Sox,657136
Austin Wynns,Cincinnati Reds,642851
Eric Yang,Cincinnati Reds,687066
Juan Yepez,Washington Nationals,660766
Nick Yorke,Pittsburgh Pirates,694377
Jacob Young,Washington Nationals,696285
Seby Zavala,Seattle Mariners,664874
